title,price,marcas
Celular C75 256GB 8GB RAM Dual SIM Tela 6.74 Dourado,"ou R$ 1.022,07",tablet
"Smartphone Samsung Galaxy S23 Ultra 256GB Preto 5G 12GB RAM 6,8” Câm. Quádrupla + Selfie 12MP","ou R$ 2.324,07",samsung
"Smartphone Samsung Galaxy S24 FE 128GB Grafite 5G 8GB RAM 6,7"" Câm. Tripla + Selfie 10MP","ou R$ 1.499,99",samsung
"Smartphone Motorola Moto G75 256GB Cinza 5G 8GB RAM 6,8"" Câm. Dupla Selfie 16MP","ou R$ 2.510,07",motorola
"Smartphone Motorola Moto g35 128GB Verde 5G 6GB RAM 6,7"" Câm. Dupla Selfie 16MP","ou R$ 1.022,07",motorola
"Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Tela 6,6"" Câmera Tripla 50MP Frontal 13MP Azul Escuro","ou R$ 1.187,99",samsung
"Smartphone Motorola Edge 50 Neo 256GB Latte (Marrom) 5G 8GB RAM 6,4"" Câm. Tripla + Selfie 32MP","ou R$ 1.552,17",motorola
Celular Realme Note 60 Dual Sim 128 Gb 4 Gb Ram Smartphone,"ou R$ 789,57",realme
"Smartphone Samsung Galaxy A36 128GB 5G 6GB RAM Preto 6,7"" Câm. Tripla + Selfie 12MP","ou R$ 849,15",samsung
"Celular Samsung Galaxy S24+, 256GB, 12GB de RAM, Tela de 6.7"", Galaxy AI","ou R$ 823,95",samsung
Celular Realme C63 128gb Dual Sim 6gb Smartphone Original,"ou R$ 1.799,99",realme
"Celular Samsung Galaxy A06 (128GB), 4GB RAM, Tela 6.7"", Câm. Traseira 50+2MP, Frontal 8MP","ou R$ 849,15",samsung
"Apple iPhone 14 128GB Estelar 6,1” 12MP iOS 5G","ou R$ 975,57",apple
Smartphone Xiaomi Redmi 14C 128GB 4GB/4GB RAM VIRTUAL,"ou R$ 3.999,00",xiaomi
Smartphone Xiaomi Redmi Note 14 256GB 8/8GB RAM VIRTUAL Dual SIM Tela 6.67,"ou R$ 2.799,00",xiaomi
Celular Smartphone Poco X7 Pro 5G 512GB 12GB RAM Dual SIM Tela 6.67 Preto,"ou R$ 1.449,00",x7pocopro
"Smartphone OPPO A40 256GB Vinho 4GB RAM 6,7"" Câm. 50MP + Selfie 5MP","ou R$ 989,10",oppo
Smartphone Xiaomi Poco X6 Pro 12gb 512gb Preto,"ou R$ 1.349,00",xiaomi
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb Azul,"ou R$ 1.855,00",xiaomi
Smartphone Xiaomi Poco X6 Pro 12gb 512gb Preto,"ou R$ 836,07",xiaomi
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip","ou R$ 1.799,10",motorola
Smartphone Realme C75 256GB 16GB RAM BOOST IP69 Prova dágua 6000mAh Câmera dupla 50MP Celular Resistente e Poderoso com Design Premium,"ou R$ 3.599,10",realme
"Smartphone Galaxy M55 5G, 256GB, Tela 6.7"", Câmeras 50MP+8MP+2Mp, Azul Escuro, SM-M556BZKMZTO, SAMSUNG SAMSUNG","ou R$ 1.022,07",samsung
Smartphone Xiaomi Poco X7 Pro 5G 12gb 512gb Preto,"ou R$ 789,57",xiaomi
"Smartphone Infinix Smart 8 Pro 256GB Preto 4GB RAM 6,6"" Câm. 50MP + Selfie 8MP Dual Chip","ou R$ 4.229,10",infinix
Smartphone Motorola Moto G35 5G 128GB 12GB Ram Boost e Camera 50MP com AI NFC Tela 6.7 com Superbrilho,"ou R$ 870,32",motorola
Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM VIRTUAL Dual Tela 6.67,"ou R$ 1.440,57",xiaomi
Smartphone Realme Note 50 RMX3834 3GB de RAM / 64GB / Tela 6.74 / Dual Sim LTE - Sky Azul,"ou R$ 2.967,84",realme
